Nr;Event;GPrecision;GRecall;Redundancy;Compactness;Overlap;GT cross entropy;FC cross entropy;Homogeneity;Completeness;V-Measure;VarInformation;Precision;Recall;F1;
22;;0.9729437229437229;0.9782372143634385;0.0;0.8949783917597033;0.0;0.8992086973637343;0.6347316905606054;0.41488180452769396;0.8865909353421989;0.5652526339805461;0.6919643218221265;0.8482810164424515;1.0;0.9105726872246696;
23;;0.9593406593406594;0.9765100671140939;0.025;0.9494825815982652;0.6666666666666666;0.8124961824166347;0.6119114401761164;0.4573416943578229;0.795244881817126;0.5807161733926057;0.6470725714499679;0.8995363214837712;0.7142857142857143;0.6908553230209281;
24;;0.973421926910299;0.9755826859045506;0.0;0.8578585147861273;0.0;0.8915455127071639;0.6255551081046988;0.42362847146433225;0.8815545569467674;0.5722593710499091;0.6914988503949956;0.8310502283105023;1.0;0.8983516483516483;
25;;0.9691160809371672;1.0;0.0090;0.8352307880968638;0.6666666666666666;0.916373073573614;0.6399414151626452;0.4312805868373497;0.9080553712736904;0.5848071964797591;0.7123855472068406;0.881057268722467;0.6790123456790124;0.6180901314949572;
26;;0.9698924731182795;1.0;0.0;0.8838630651164824;0.0;0.9395250011331382;0.6538673346822512;0.44490901402164573;0.9334867925370439;0.6026087521359582;0.7347250362951216;0.8343283582089552;1.0;0.9007155635062611;
27;;0.9739696312364425;1.0;0.036;0.8009244887500365;0.6666666666666666;0.8490788544269061;0.6411924706054231;0.48547836660700616;0.8332819506850659;0.6135161257693352;0.6819382562823078;0.7697647733792312;0.6828908554572272;0.6334616394230886;
28;;0.9632034632034632;1.0;0.0;0.9056170520368504;0.0;0.9265044906591732;0.6309596126097677;0.42613867098297586;0.9216989803353398;0.5828173417507622;0.7202169001958622;0.8040123456790124;1.0;0.8781190019193859;
29;;0.9721329046087889;1.0;0.0;0.8762553379365193;0.0;0.947117271614849;0.6706545563224013;0.47296259616556013;0.9413302180252763;0.6295923719601857;0.7495657944124469;0.8400297619047619;1.0;0.9047829937998229;
30;;0.9795918367346939;0.9967213114754099;0.0;0.8176314635065864;0.0;0.9507478125017244;0.6787182620757679;0.4914745883891709;0.9455066696540522;0.646762090579004;0.7587059281614718;0.8308157099697886;0.9977272727272728;0.8974591651542649;
31;;0.9664864864864865;0.9955456570155902;0.049;0.8323269317969105;0.6666666666666666;0.8150571547649631;0.6462013225225179;0.5127287840533197;0.7933455089684102;0.6228911790407122;0.6676525730050126;0.8764333279194413;0.6989720998531572;0.6648014461008851;
32;;0.9586507072905331;0.9832589285714286;0.208;0.8834895216221396;0.6666666666666666;0.6729060935103565;0.6502109553201099;0.5783685865135995;0.6162237784089448;0.596696389763984;0.5975515848376532;0.881243628950051;0.8267594740912606;0.8152633175930667;
33;;0.9685466377440347;1.0;0.0;0.8268002965690724;0.0;0.9412380527599854;0.6725980423209532;0.4962781722789198;0.9360313782473731;0.6486474120369236;0.7538117448170837;0.8335866261398177;1.0;0.9001823154056517;
34;;0.9642058165548099;0.9652855543113102;0.0;0.9041112354805289;0.0;0.8748214369807858;0.6468642313053794;0.4749998414442619;0.8610048402269361;0.6122391159272739;0.6959678289991977;0.8588770864946889;1.0;0.917844522968198;
35;;0.9923747276688453;1.0;0.0;0.696197594743678;0.6666666666666666;0.9774894945113367;0.9705151036722572;0.9669106015248299;0.9749337986474613;0.9709056252019626;0.9709378382847526;1.0;1.0;1.0;
36;;0.9869138495092693;1.0;0.0;0.7040796947563487;0.6666666666666666;0.9668734387562591;0.9547993483750131;0.949415980511041;0.9634223285076573;0.9563678752707231;0.956466150816595;1.0;1.0;1.0;
37;;0.9559585492227979;0.82;0.0;0.8327892930936613;0.0;0.841051282493867;0.7299880619004563;0.6611721094791956;0.8249392508857059;0.7340322390999888;0.7483899810304695;0.9381044487427466;1.0;0.9670103092783505;
38;;0.9521203830369357;0.7811447811447811;0.0;0.7603381739881986;0.0;0.8688139708124303;0.7692589072732523;0.7180472926961419;0.8570838619423385;0.7814292097123822;0.7915516006509207;0.9672995780590717;1.0;0.9830970556161396;
39;;0.9934569247546347;1.0;0.0;0.7358056769470774;0.0;0.9797714424739744;0.9740148081863415;0.970603813763527;0.9772641656699843;0.9739226028342806;0.9739447980582936;1.0;1.0;1.0;
40;;0.9901207464324918;1.0;0.0;0.7391141085295821;0.0;0.9722316193046596;0.9639372474218902;0.9601491611199651;0.9695934811808185;0.9648482105087298;0.9648928632019343;1.0;1.0;1.0;
41;;0.951885565669701;0.814238042269188;0.0;0.8014031574894713;0.6666666666666666;0.8576540927929395;0.7588406256341951;0.7019107217615184;0.8432021507543943;0.7660963037129654;0.7766224618774947;0.958502024291498;1.0;0.9783526927138332;
42;;0.9401114206128134;0.7541899441340782;0.0;0.9258193186855984;0.0;0.8957704070111078;0.8221660654302149;0.7890556017360512;0.8862918491216545;0.8348519561890471;0.8397073385400085;0.9856828193832599;1.0;0.9927374301675977;
43;;0.9703504043126685;0.7817589576547231;0.0;0.8217960972758706;0.0;0.9062353142827626;0.8123569065292678;0.7618945726531632;0.8936842842320221;0.822543973656248;0.8314936537113861;0.9788732394366197;1.0;0.9892086330935251;
44;;0.9613333333333334;0.7993348115299335;0.0;0.8983293083521736;0.0;0.8680105432600449;0.7692141457326831;0.715379896635747;0.8549011799875096;0.7789422249020369;0.7891463902480056;0.9589322381930185;1.0;0.9785867237687366;
